"Table 5: Second homes in each council area, September 2014 to 2024 [Note 1] [Note 7] [Note 8]",,,,,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which are explained on the notes worksheet.,,,,,,,,,,,,,,,
Back to contents,,,,,,,,,,,,,,,
Area Name,Area code,Area type,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,"Proportion of total dwellings in 2024
 %",
Scotland,S92000003,Country,"28,469","27,317","26,140","25,713","24,983","24,478","24,471","23,990","24,287","24,061","21,606",0.8,
Aberdeen City [Note 8],S12000033,Council area,"1,238","1,151","1,175","1,175",884,905,848,847,737,686,392,0.3,
Aberdeenshire,S12000034,Council area,"1,162","1,314","1,201","1,268","1,223","1,244","1,193","1,208","1,214","1,166","1,135",0.9,
Angus,S12000041,Council area,772,543,534,462,444,439,427,411,398,389,317,0.5,
Argyll and Bute,S12000035,Council area,"3,379","3,431","3,394","3,256","3,221","3,131","3,129","2,952","3,045","3,235","2,961",6.0,
City of Edinburgh [Note 8],S12000036,Council area,"2,317","2,279","2,320","2,320","2,016","1,809","1,747","1,659","1,660","1,698","1,430",0.5,
Clackmannanshire [Note 9],S12000005,Council area,32,62,58,56,55,50,44,85,85,41,38,0.2,
Dumfries and Galloway,S12000006,Council area,"1,868","2,190","1,484","1,487","1,457","1,437","1,394","1,371","1,390","1,396","1,226",1.6,
Dundee City,S12000042,Council area,976,264,321,342,346,365,525,564,526,527,184,0.2,
East Ayrshire,S12000008,Council area,136,126,129,144,127,132,136,119,110,105,104,0.2,
East Dunbartonshire,S12000045,Council area,198,120,139,145,71,72,70,65,64,61,57,0.1,
East Lothian,S12000010,Council area,550,543,527,522,511,513,500,498,480,471,588,1.1,
East Renfrewshire [Note 9],S12000011,Council area,159,126,108,72,70,67,72,58,48,64,49,0.1,
Falkirk,S12000014,Council area,449,440,234,78,82,87,91,101,105,109,104,0.1,
Fife,S12000047,Council area,"2,098","2,201","2,236","2,290","2,367","2,392","2,421","2,306","2,374","2,359","2,023",1.1,
Glasgow City,S12000049,Council area,823,474,479,473,597,615,570,516,530,490,479,0.1,
Highland,S12000017,Council area,"4,280","4,189","4,132","3,989","3,891","3,829","3,789","3,736","3,720","3,753","3,432",2.7,
Inverclyde,S12000018,Council area,204,210,110,115,113,121,133,127,120,105,80,0.2,
Midlothian,S12000019,Council area,36,33,34,49,50,55,50,48,57,54,3,0.0,
Moray,S12000020,Council area,660,715,758,786,776,810,787,768,799,791,733,1.5,
Na h-Eileanan Siar,S12000013,Council area,776,743,768,790,827,829,788,840,885,857,902,5.9,
North Ayrshire,S12000021,Council area,"1,492","1,535","1,683","1,610","1,569","1,538","1,539","1,510","1,527","1,477","1,493",2.1,
North Lanarkshire,S12000050,Council area,80,89,75,80,83,84,78,80,79,74,64,0.0,
Orkney Islands,S12000023,Council area,380,394,392,406,408,395,487,426,563,474,444,3.8,
Perth and Kinross,S12000048,Council area,"1,224","1,218","1,217","1,247","1,195","1,081","1,170","1,202","1,223","1,202","1,083",1.4,
Renfrewshire [Note 9],S12000038,Council area,484,253,182,172,166,164,164,159,153,154,131,0.1,
Scottish Borders,S12000026,Council area,"1,186","1,275","1,036",960,945,968,981,999,"1,031","1,037",935,1.6,
Shetland Islands,S12000027,Council area,164,157,163,168,169,165,173,178,171,178,215,1.8,
South Ayrshire,S12000028,Council area,459,467,478,478,514,473,490,505,530,509,453,0.8,
South Lanarkshire,S12000029,Council area,120,160,189,230,246,203,204,202,178,175,156,0.1,
Stirling,S12000030,Council area,412,416,415,379,402,342,337,329,325,316,304,0.7,
West Dunbartonshire [Note 8],S12000039,Council area,84,99,81,81,81,81,48,39,81,19,22,0.0,
West Lothian,S12000040,Council area,271,100,88,83,77,82,86,82,79,89,69,0.1,
,,,,,,,,,,,,,,,
