Region,Year,Affordability
Large urban areas,2022,62
Other urban,2022,67
Small accessible towns,2022,69
Small remote towns,2022,66
Accessible rural,2022,65
Remote rural ,2022,51
Scotland (all),2022,64
Large urban areas,2021,78
Other urban,2021,80
Small accessible towns,2021,77
Small remote towns,2021,88
Accessible rural,2021,75
Remote rural ,2021,67
Scotland (all),2021,78
Large urban areas,2023,63
Other urban,2023,72
Small accessible towns,2023,75
Small remote towns,2023,85
Accessible rural,2023,74
Remote rural ,2023,78
Scotland (all),2023,70
